,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
450,Nikola Vucevic,CHI,73,41,32,33.1,17.6,68.3,43.5,1.8,1.58,0.53,0.258,6.2,5.4,5.9,0.511,0.475,0.933
451,Norman Powell,LAC,45,15,30,32.4,19.0,39.5,28.1,1.9,2.92,2.44,0.479,0.4,0.1,0.6,0.895,0.0,0.84
452,Norvel Pelle,UTA,3,0,3,6.3,2.0,4.3,2.3,0.1,1.17,0.15,0.462,0.0,0.0,1.3,0.0,0.0,1.0
453,O.G. Anunoby,TOR,48,31,17,36.0,17.1,51.0,34.3,2.3,2.66,1.65,0.336,0.8,3.0,3.1,0.737,0.483,0.98
454,Obi Toppin,NYK,71,31,40,17.2,9.1,28.8,17.1,0.7,1.47,0.59,0.316,0.8,0.5,2.8,0.873,0.444,1.1
455,Olivier Sarr,OKC,22,6,16,19.1,7.0,29.0,18.2,0.7,1.36,0.3,0.24,2.0,0.3,4.5,0.512,0.571,0.838
456,Omer Yurtseven,MIA,56,39,17,12.6,5.3,19.1,10.9,0.5,1.59,0.4,0.28,1.3,0.8,4.5,0.547,0.465,0.897
457,Onyeka Okongwu,ATL,48,26,22,20.7,8.2,25.8,15.3,0.6,1.38,0.44,0.316,2.2,0.6,6.5,0.61,0.667,0.981
458,Oshae Brissett,IND,67,19,48,23.3,9.1,34.7,19.3,0.9,1.64,0.77,0.264,0.7,0.0,2.5,0.705,2.0,0.651
459,Otto Porter Jr.,GSW,62,41,21,22.1,8.2,34.9,19.3,1.0,1.77,0.67,0.236,1.0,0.5,2.3,0.781,0.25,0.769
460,P.J. Dozier,DEN,18,9,9,18.9,5.4,29.1,16.8,1.3,2.66,1.73,0.185,0.8,0.1,1.2,0.0,0.0,0.455
461,P.J. Tucker,MIA,71,45,26,27.9,7.6,33.9,20.0,1.0,1.78,0.81,0.224,1.2,0.4,2.7,0.321,0.536,0.627
462,P.J. Washington,CHA,65,33,32,27.2,10.3,42.9,23.8,1.0,1.41,0.58,0.24,1.6,0.6,3.0,0.415,0.378,0.909
463,Paris Bass,PHX,1,1,0,5.5,4.0,14.0,5.0,0.6,2.54,1.79,0.286,0.0,0.0,3.0,0.0,0.0,1.333
464,Pascal Siakam,TOR,68,40,28,37.9,22.8,77.6,39.4,5.1,3.95,3.16,0.294,2.3,2.7,3.8,0.726,0.436,0.851
465,Pat Connaughton,MIL,65,41,24,26.0,9.9,32.2,18.0,0.8,1.56,0.63,0.308,0.3,0.0,1.2,0.389,0.0,0.815
466,Patrick Beverley,MIN,58,33,25,25.4,9.2,51.7,21.8,3.5,4.1,3.15,0.178,0.9,0.0,1.0,0.288,0.0,0.571
467,Patrick Williams,CHI,17,9,8,24.8,9.0,33.4,14.7,1.0,1.87,1.18,0.27,0.9,0.2,1.5,0.533,1.0,0.577
468,Patty Mills,BKN,81,44,37,29.0,11.4,37.4,21.9,1.7,2.67,2.43,0.305,0.1,0.0,0.2,0.727,0.0,0.833
469,Paul George,LAC,31,18,13,34.8,24.3,75.4,35.1,5.3,4.18,3.44,0.323,2.1,2.1,1.3,0.641,0.561,0.65
470,Paul Millsap,PHI,33,22,11,11.4,3.5,17.8,9.2,0.6,2.13,1.02,0.196,0.8,0.4,2.1,0.357,0.643,0.629
471,Paul Reed,PHI,38,21,17,8.0,3.1,12.1,6.5,0.4,1.75,0.77,0.252,0.4,0.1,2.0,0.471,1.0,0.92
472,Paul Watson,OKC,9,2,7,17.4,3.4,18.6,12.3,0.5,1.65,0.98,0.186,0.0,0.0,0.2,0.0,0.0,1.0
473,Payton Pritchard,BOS,71,46,25,14.1,6.2,28.6,13.6,1.9,3.99,3.59,0.218,0.2,0.0,0.3,0.118,0.0,0.261
474,Petr Cornelie,DEN,13,3,10,2.9,1.1,5.2,3.5,0.1,1.42,0.44,0.206,0.4,0.1,1.0,0.4,2.0,0.615
475,Precious Achiuwa,TOR,73,46,27,23.6,9.1,33.5,20.0,1.2,2.1,1.16,0.271,1.2,0.5,4.2,0.369,0.657,0.722
476,Quentin Grimes,NYK,45,20,25,17.3,6.1,19.6,13.8,0.6,1.75,1.08,0.312,0.3,0.0,0.4,0.333,0.0,0.5
477,Quinndary Weatherspoon,GSW,11,8,3,6.7,2.7,9.0,5.3,0.3,2.05,1.12,0.303,0.3,0.1,1.1,0.0,0.0,1.167
478,R.J. Hampton,ORL,64,15,49,21.9,7.6,38.7,17.5,2.6,3.96,3.45,0.197,0.2,0.0,0.5,0.727,0.0,0.581
479,RJ Barrett,NYK,69,32,37,34.5,20.1,54.3,34.1,3.0,3.27,2.67,0.371,1.0,0.8,1.7,0.486,0.527,0.711
480,RJ Nembhard Jr.,CLE,14,6,8,4.5,1.1,9.6,4.5,0.8,4.96,3.89,0.111,0.1,0.0,0.1,0.0,0.0,2.0
481,Rajon Rondo,CLE,39,16,23,17.9,4.8,46.3,17.6,3.4,4.42,3.74,0.103,0.4,0.0,0.6,0.0,0.0,0.087
482,Raul Neto,WAS,70,29,41,19.6,7.5,41.3,16.4,3.3,4.81,4.53,0.182,0.3,0.0,0.6,0.286,2.0,0.732
483,Rayjon Tucker,MIL,5,2,3,14.2,4.2,14.2,8.2,0.6,2.44,1.67,0.296,0.2,0.2,0.2,3.0,0.0,2.0
484,Reggie Bullock,DAL,68,44,24,28.0,8.6,35.3,23.0,0.8,1.44,0.39,0.243,0.3,0.0,0.7,0.381,0.0,0.667
485,Reggie Jackson,LAC,74,38,36,31.2,16.9,67.7,25.1,6.1,5.44,4.61,0.249,0.3,0.1,0.6,0.739,0.571,0.708
486,Reggie Perry,POR,10,0,10,18.7,9.2,30.5,18.8,0.9,1.83,0.74,0.302,1.9,0.5,3.3,0.526,1.6,1.121
487,Richaun Holmes,SAC,44,15,29,23.7,10.1,31.8,19.4,0.9,1.63,0.49,0.319,4.0,0.4,6.4,0.661,1.053,1.064
488,Ricky Rubio,IND,34,20,14,28.5,13.1,72.6,29.7,6.0,4.94,4.38,0.18,0.5,0.0,0.4,0.353,0.0,0.133
489,Rob Edwards,OKC,2,0,2,5.4,1.5,9.0,6.0,0.4,2.5,1.61,0.167,0.0,0.0,0.0,0.0,0.0,0.0
490,Robert Covington,LAC,71,34,37,27.3,8.5,41.7,17.9,1.1,1.65,0.47,0.204,0.7,0.2,1.4,0.302,0.0,0.747
491,Robert Williams III,BOS,60,40,20,29.5,10.0,35.7,22.9,0.8,1.26,0.28,0.28,1.4,0.2,9.1,0.333,0.364,0.974
492,Robert Woodard II,SAS,12,0,12,3.5,0.6,4.0,2.0,0.1,2.16,1.29,0.146,0.2,0.0,0.5,0.0,0.0,0.333
493,Robin Lopez,ORL,36,9,27,17.0,7.1,21.2,16.4,0.8,2.34,1.03,0.333,2.3,3.6,4.2,0.469,0.618,0.867
494,Rodney Hood,LAC,52,30,22,13.6,3.1,14.1,8.3,0.5,2.33,1.33,0.222,0.2,0.1,0.5,0.375,0.0,0.68
495,Rodney McGruder,DET,50,13,37,14.7,5.3,17.0,12.0,0.5,1.83,1.07,0.313,0.3,0.0,0.9,0.5,0.0,0.63
496,Romeo Langford,SAS,48,24,24,16.1,4.5,15.0,9.3,0.5,1.92,1.11,0.303,0.3,0.0,0.9,0.286,3.0,0.886
497,Royce O'Neale,UTA,77,46,31,31.2,7.4,58.3,27.3,1.6,1.6,0.7,0.127,0.7,0.0,1.2,0.373,0.0,0.478
498,Rudy Gay,UTA,55,34,21,18.9,8.1,31.8,16.6,1.0,1.97,0.83,0.255,0.7,1.0,1.4,0.474,0.722,1.038
499,Rudy Gobert,UTA,66,42,24,32.1,15.6,33.7,20.7,0.7,1.31,0.36,0.462,2.8,1.1,11.3,0.746,0.571,1.09
500,Rui Hachimura,WAS,42,16,26,22.5,11.3,33.7,20.5,1.2,2.17,1.11,0.335,1.1,1.3,1.9,1.0,0.519,1.063
501,Russell Westbrook,LAL,78,31,47,34.3,18.5,78.9,30.5,6.4,4.89,4.29,0.234,0.7,1.5,2.5,0.679,0.393,0.772
502,Ryan Arcidiacono,NYK,10,8,2,7.6,1.6,9.3,5.9,0.4,2.42,1.73,0.172,0.0,0.0,0.0,0.0,0.0,0.0
503,Saben Lee,DET,36,8,28,16.3,5.4,35.8,15.3,2.8,4.61,4.15,0.15,0.2,0.0,1.0,0.667,0.0,1.114
504,Saddiq Bey,DET,81,23,58,33.0,16.3,50.0,35.9,1.9,2.31,1.37,0.325,0.8,1.3,1.6,0.576,0.524,0.75
505,Sam Dekker,TOR,1,1,0,0.9,0.0,1.0,1.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,Sam Hauser,BOS,26,20,6,6.1,2.5,8.7,5.0,0.2,1.57,0.62,0.286,0.1,0.0,0.2,1.0,0.0,1.0
507,Sam Merrill,MEM,6,2,4,9.6,4.2,19.7,11.2,0.8,2.52,1.75,0.212,0.2,0.0,0.0,0.0,0.0,0.0
508,Sandro Mamukelashvili,MIL,41,22,19,9.9,3.8,14.2,7.1,0.4,1.58,0.68,0.264,0.3,0.1,1.7,0.538,0.4,0.721
509,Santi Aldama,MEM,31,19,12,11.0,4.0,14.7,8.9,0.5,1.98,0.93,0.275,0.6,0.2,1.7,0.7,0.5,0.963
510,Scottie Barnes,TOR,74,43,31,35.4,15.3,66.7,32.6,3.2,2.9,2.17,0.23,2.2,1.7,5.5,0.645,0.595,0.88
511,Scottie Lewis,CHA,2,1,1,3.3,0.5,3.0,2.0,0.2,3.39,2.5,0.167,0.0,0.0,0.0,0.0,0.0,0.0
512,Scotty Hopson,OKC,1,0,1,17.7,4.0,13.0,9.0,0.7,3.08,2.77,0.308,0.0,0.0,0.0,0.0,0.0,0.0
513,Sekou Doumbouya,LAL,2,0,2,8.2,7.0,11.0,7.5,0.5,2.67,1.86,0.636,0.5,0.0,1.5,0.0,0.0,0.667
514,Semi Ojeleye,LAC,30,14,16,13.5,3.3,13.6,7.0,0.4,1.97,0.9,0.24,0.4,0.2,1.4,0.364,0.6,0.605
515,Serge Ibaka,MIL,53,30,23,16.2,6.7,22.7,13.6,0.6,1.59,0.39,0.297,1.7,0.9,2.9,0.629,0.604,0.909
516,Seth Curry,BKN,64,38,26,33.3,15.0,54.2,37.1,3.0,3.28,2.51,0.277,0.1,0.0,0.1,0.0,0.0,0.25
517,Shai Gilgeous-Alexander,OKC,56,16,40,34.7,24.5,78.3,28.1,7.3,5.6,5.11,0.313,0.3,0.2,0.7,0.714,0.615,0.795
518,Shake Milton,PHI,55,34,21,21.4,8.2,40.0,19.5,2.8,4.16,3.58,0.205,0.1,0.0,0.3,0.857,0.0,0.737
519,Shaq Buchanan,MEM,2,2,0,4.9,1.0,11.0,5.0,0.5,2.48,1.91,0.091,0.0,0.0,1.0,0.0,0.0,1.0
520,Shaquille Harrison,BKN,2,1,1,11.3,2.0,18.0,8.5,0.7,2.42,1.94,0.111,0.0,0.0,1.5,0.0,0.0,0.0
521,Sharife Cooper,ATL,13,8,5,3.0,0.5,7.7,3.0,0.7,5.07,3.92,0.07,0.0,0.0,0.0,0.0,0.0,0.0
522,Skylar Mays,ATL,28,17,11,7.9,2.9,12.7,5.7,0.8,3.83,3.06,0.225,0.1,0.0,0.2,1.0,0.0,0.667
523,Solomon Hill,ATL,13,7,6,10.7,0.6,14.0,6.8,0.4,1.57,0.62,0.044,0.2,0.0,1.0,0.0,0.0,0.154
524,Spencer Dinwiddie,DAL,67,38,29,29.6,13.7,61.0,25.8,5.2,5.14,4.29,0.225,0.4,0.1,0.4,0.32,0.6,0.552
525,Stanley Johnson,LAL,48,16,32,22.8,6.7,31.0,16.2,1.0,1.89,1.09,0.215,1.0,0.1,1.6,0.408,0.8,0.74
526,Stephen Curry,GSW,64,45,19,34.5,25.5,76.9,30.9,5.6,4.36,4.06,0.331,0.7,0.0,1.4,0.556,0.0,0.644
527,Sterling Brown,DAL,49,31,18,12.8,3.3,17.5,9.5,0.6,2.12,1.36,0.187,0.1,0.0,0.6,0.429,0.0,0.433
528,Steven Adams,MEM,75,50,25,26.4,7.0,38.6,23.3,1.2,1.86,0.44,0.182,5.6,1.4,7.8,0.189,0.575,0.656
529,Svi Mykhailiuk,TOR,56,29,27,12.8,4.6,16.1,10.4,0.6,2.24,1.41,0.283,0.2,0.0,0.6,0.692,0.0,0.771
530,T.J. McConnell,IND,27,9,18,24.2,8.5,58.0,19.8,4.4,4.52,4.29,0.146,0.6,0.0,1.3,0.4,0.0,0.686
531,Tacko Fall,CLE,11,4,7,5.3,1.1,7.5,4.2,0.3,2.37,0.46,0.145,0.1,1.1,1.9,0.0,0.167,0.571
532,Taj Gibson,NYK,51,23,28,18.1,4.4,21.1,10.7,0.4,1.26,0.41,0.208,1.3,0.4,3.2,0.53,0.6,0.72
533,Talen Horton-Tucker,LAL,60,23,37,25.2,10.0,43.3,22.1,2.5,3.5,2.69,0.23,0.9,0.2,1.1,0.627,0.444,0.662
