,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
582,Victor Oladipo,MIA,8,4,4,21.6,12.4,42.8,19.5,2.8,3.96,3.5,0.289,0.1,0.0,0.5,0.0,0.0,0.5
583,Vit Krejci,OKC,30,8,22,23.0,6.2,33.5,22.3,1.5,2.62,1.93,0.186,0.3,0.0,1.0,0.6,0.0,0.567
584,Vlatko Cancar,DEN,15,7,8,11.8,4.1,16.6,11.1,0.5,1.64,0.73,0.249,1.5,0.1,1.7,0.318,0.0,0.846
585,Wayne Ellington,LAL,43,15,28,18.8,6.7,20.3,15.1,0.6,1.63,0.86,0.328,0.1,0.0,0.2,0.4,0.0,0.444
586,Wayne Selden,NYK,3,2,1,6.4,1.7,5.0,3.7,0.3,3.01,1.93,0.333,0.0,0.0,0.0,0.0,0.0,0.0
587,Wendell Carter Jr.,ORL,62,16,46,29.9,15.0,60.6,36.5,1.8,1.75,0.5,0.248,4.7,1.5,6.3,0.438,0.469,0.928
588,Wenyen Gabriel,LAL,25,8,17,14.3,5.6,17.0,9.4,0.5,1.62,0.67,0.331,1.2,0.1,3.2,0.433,0.667,0.797
589,Wes Iwundu,ATL,3,2,1,27.4,7.3,30.0,14.7,0.9,1.82,0.94,0.244,0.0,0.0,0.3,0.0,0.0,0.0
590,Wesley Matthews,MIL,49,33,16,20.5,5.1,17.0,11.8,0.4,1.52,0.62,0.3,0.2,0.0,1.1,0.7,0.0,0.636
591,Will Barton,DEN,71,41,30,32.1,14.7,54.1,31.9,3.1,3.44,2.54,0.272,0.9,0.1,1.5,0.621,0.4,0.771
592,Willie Cauley-Stein,PHI,20,12,8,9.1,1.7,12.0,6.3,0.3,1.38,0.48,0.142,1.0,0.1,2.2,0.211,0.0,0.535
593,Willy Hernangomez,NOP,50,22,28,16.8,9.1,35.3,22.4,0.9,1.51,0.5,0.256,2.9,1.6,6.7,0.51,0.524,0.817
594,Xavier Moon,LAC,10,7,3,13.7,5.8,30.8,10.5,2.2,4.36,4.16,0.188,0.0,0.0,0.1,0.0,0.0,0.0
595,Xavier Sneed,UTA,9,7,2,4.3,0.6,4.1,2.6,0.1,1.51,0.54,0.135,0.0,0.0,0.2,0.0,0.0,0.0
596,Xavier Tillman,MEM,53,35,18,13.2,4.8,22.6,13.0,0.7,1.74,0.63,0.211,2.7,0.5,2.8,0.312,0.44,0.762
597,Yuta Watanabe,TOR,38,21,17,11.7,4.3,16.0,9.1,0.5,1.81,1.07,0.269,0.3,0.0,0.8,0.909,0.0,0.667
598,Yves Pons,MEM,12,9,3,5.9,1.1,4.7,3.1,0.1,1.56,0.68,0.232,0.2,0.0,0.6,0.0,0.0,0.571
599,Zach Collins,SAS,28,14,14,17.9,7.8,31.6,20.8,1.0,1.82,0.56,0.247,3.1,1.9,4.7,0.602,0.528,0.606
600,Zach LaVine,CHI,67,37,30,34.7,24.4,61.4,31.2,4.5,4.38,3.75,0.397,0.8,0.4,1.1,0.909,0.538,1.053
601,Zavier Simpson,OKC,4,1,3,43.5,11.0,113.3,45.3,8.5,4.49,4.31,0.097,0.5,0.0,0.0,0.0,0.0,0.0
602,Zeke Nnaji,DEN,41,24,17,17.0,6.6,18.0,11.0,0.4,1.34,0.35,0.365,1.0,0.1,2.6,0.513,0.0,0.944
603,Ziaire Williams,MEM,61,40,21,21.7,8.0,19.8,13.5,0.6,1.91,1.25,0.404,0.4,0.0,1.2,0.815,0.667,1.224
604,Zylan Cheatham,UTA,1,0,1,5.2,0.0,6.0,4.0,0.1,1.15,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
